Element1,Element2,Element3,Element4,afm,lat,sws0,sws_init,mag,B0,TC
Ti,Mn,Si,Re,0,0,2.88292,2.96379910258414,0.115540185,169.33336,20.4287808
Ti,Mn,Si,Rh,0,0,2.8735032,2.949313074630977,0.02549638687,168.02081,12.5370816
Ti,Mn,Si,Ru,0,0,2.8635917,2.946388464878049,0.08794234035,145.80519,26.579904400000004
Ti,Mn,Si,Sb,0,1,3.1193373,3.184284591744802,0.1043928775,85.45594,23.9884208
Ti,Mn,Si,Sn,0,1,3.0580893,3.141724626756309,0.06790688049,88.28418,26.3277344
Ti,Mn,Si,Tc,0,0,2.9618945,2.958077763001803,0.0972033697,90.081436,25.833534
Ti,Mn,Si,Te,0,1,3.2432282,3.2330043444269942,0.201636449,80.56165,50.542766
Ti,Mn,Si,W,0,0,2.8980608,2.981233319119112,0.05972649,150.42476,9.327865200000002
Ti,Mn,Sn,As,0,1,3.0902367,3.161698839573539,0.253351879,77.22491,59.8022012
Ti,Mn,Sn,Au,0,0,3.0608914,3.099372297958117,0.685248552,119.48144,101.4509032
Ti,Mn,Sn,Bi,0,0,3.3415785,3.3383125625452297,0.7726778400000001,74.33134,140.65192520000002
Ti,Mn,Sn,Ge,0,1,3.123545,3.176791663033731,0.447608617,76.262924,106.57687400000002
Ti,Mn,Sn,Hg,0,1,3.1739345,3.186701240170984,0.731427464,78.25091,113.392582
Ti,Mn,Sn,Ir,0,0,3.0540776,3.05950184119192,0.8472925090000001,80.82791,73.66338
Ti,Mn,Sn,Mo,0,0,3.0042408,3.079918680924908,0.234786128,120.0516,52.017493
Ti,Mn,Sn,Os,0,0,3.078063,3.057523817172574,0.7784003479999999,77.65457,55.093232400000005
Ti,Mn,Sn,Pb,0,0,3.2348435,3.275941828744345,0.78971624,82.162964,140.814446
Ti,Mn,Sn,Pd,0,1,3.029772,3.0679333386938668,0.567854706,110.130325,99.34974
Ti,Mn,Sn,Pt,0,0,3.0257382,3.0730172883047544,0.8308499130000001,125.11951,98.52346400000002
Ti,Mn,Sn,Rh,0,0,2.969491,3.0539664716048844,0.6884728769999999,157.82834,99.66550200000002
Ti,Mn,Sn,Ru,0,0,2.987659,3.051239137637378,0.7346152530000001,125.89967,77.01148400000001
Ti,Mn,Sn,Sb,0,1,3.2662284,3.274694967022388,0.4348785169999999,74.99303,89.387642
Ti,Mn,Sn,Te,0,1,3.264246,3.3208174251901235,0.444763696,66.52518,85.05943
Ti,Mn,Sn,W,0,0,3.0111551,3.0837681138398625,0.5540880539999999,137.01991,84.040091
Ti,Mn,Tc,Ag,0,0,2.979976,2.9114885422205288,0.1317727567,84.4754,61.031093000000006
Ti,Mn,Tc,As,0,0,2.9511943,2.9805810143696307,0.0793561983299999,73.60744,26.111204
Ti,Mn,Tc,Au,0,1,2.84914,2.910172983670337,0.0671767924299999,103.928215,23.67928000000001
Ti,Mn,Tc,Bi,0,0,3.2296057,3.1773438182186307,0.7574079154,70.44064,75.60905000000001
Ti,Mn,Tc,Ge,0,0,2.9888954,2.997548255460686,0.1081878205,70.791885,33.1825836
Ti,Mn,Tc,Hg,0,0,3.0397885,3.00867181091298,0.515683733,72.12533,98.806688
Ti,Mn,Tc,Ir,0,0,3.0013666,2.864826129272545,0.150649757,74.08072,62.04594200000001
Ti,Mn,Tc,Mo,1,0,2.8968308,2.888078549470226,0.00643990765031,124.97752,41.925602960000006
Ti,Mn,Tc,Ni,1,0,2.8192515,2.811383642888236,6.63128972e-05,105.86456,9.54855111568
Ti,Mn,Tc,Os,0,0,2.9764657,2.862569824607765,0.05413320472,73.625374,63.88351360000001
Ti,Mn,Tc,Pb,0,0,3.1449647,3.108281515035264,0.76160045,72.41832,76.08122720000001
Ti,Mn,Tc,Pd,0,0,2.931671,2.8744367138652307,0.1739401472,103.74008,67.5487694
Ti,Mn,Tc,Pt,0,0,2.905883,2.88022610161132,0.253088463,118.458786,79.900097
Ti,Mn,Tc,Re,1,0,2.8888278,2.873923970951416,0.0098087769308,156.86179,44.85055560000001
Ti,Mn,Tc,Rh,0,0,2.9060338,2.858510402545304,0.0939997001736,145.84468,43.67898600000001
Ti,Mn,Tc,Ru,0,0,2.8907497,2.8553967328421512,0.0798247166793,124.07417,48.2661352
Ti,Mn,Tc,Sb,0,0,3.163216,3.1068964243857367,0.520777652,74.44702,83.96811000000001
Ti,Mn,Tc,Sn,0,0,3.0918286,3.062143159600317,0.530972373,77.96514,103.9365932
Ti,Mn,Tc,Te,0,0,3.1798515,3.1580148093700395,0.5144140300000001,65.03157,80.36990120000002
Ti,Mn,Tc,W,0,0,2.9457486,2.8924552010139504,0.08196644605725,134.57213,59.1648804
Ti,Mn,Te,As,0,0,3.1696892,3.2518763859225985,0.4592052199999999,66.22629,66.93284919999999
Ti,Mn,Te,Au,0,0,3.2053967,3.193054897460008,0.539325924,107.24429,64.1034882
Ti,Mn,Te,Ir,0,0,3.1961803,3.155531617442954,0.71758423,65.169914,68.51314260000001
Ti,Mn,Te,Mo,0,0,3.1267216,3.17473595875755,0.387591274,107.98266,66.63172460000001
Ti,Mn,Te,Os,0,0,3.214012,3.153672259322202,0.76224037,65.16107,42.1360886
Ti,Mn,Te,Pb,0,0,3.4159372,3.360173656708404,0.80848771,63.929672,106.4941552
Ti,Mn,Te,Pd,0,1,3.1563334,3.163459673270823,0.388254788,92.29188,74.97162820000001
Ti,Mn,Te,Pt,0,1,3.1463256,3.16824191570124,0.624168123,107.87569,82.76101100000001
Ti,Mn,Te,Rh,0,0,3.06329,3.150328863833812,0.486485206,135.949,84.175511
